Year,"Population, total","Labor force, total","Employers, total (% of total employment) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Gross savings (% of GNI),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","Inflation, GDP deflator (annual %)",Exports of goods and services (current US$),Imports of goods and services (current US$),"Current account balance (BoP, current US$)",Current account balance (% of GDP),Consumer price index (2010 = 100),"Inflation, consumer prices (annual %)"
1998,21810542,8797880,2.94,3.2,72167498981,-7.36,3308.84,42.13,3690,10830,8.5,83529351814,67655931512,9528651059,13.2,77.18383172,5.270342003
1999,22368655,9079434,2.29,3.43,79148421053,6.14,3538.36,41.16,3430,11180,0.05,96016052632,76187894737,12603657895,15.92,79.3021893,2.744561302
2000,22945150,9352131,2.98,3,93789736842,8.86,4087.56,39.09,3490,11980,8.86,1.12E+11,94349736842,8487894737,9.05,80.51927191,1.534740237
2001,23542517,9627564,3.28,3.53,92783947368,0.52,3941.12,34.78,3570,12110,-1.58,1.02E+11,86253947368,7286842368,7.85,81.66005666,1.416784732
2002,24142445,9908787,3.02,3.48,1.01E+11,5.39,4177.1,35.03,3800,12740,3.13,1.09E+11,91820789474,7189736842,7.13,83.13636633,1.807872463
2003,24739411,10200556,3.37,3.61,1.10E+11,5.79,4454.53,36.84,4160,13580,3.3,1.18E+11,96153421053,13381157895,12.14,84.04228364,1.089676326
2004,25333247,10504004,3.55,3.54,1.25E+11,6.78,4924.34,37.04,4710,14580,6.01,1.44E+11,1.19E+11,15079434211,12.09,85.23675238,1.421271159
2005,25923536,10820941,3.35,3.53,1.44E+11,5.33,5536.84,38.51,5230,15600,8.86,1.62E+11,1.31E+11,19979946360,13.92,87.77260621,2.975070927
2006,26509413,11150813,3.86,3.32,1.63E+11,5.58,6137.15,39.95,5770,16860,3.98,1.83E+11,1.47E+11,26199509355,16.1,90.9405264,3.609235642
2007,27092604,11495136,3.44,3.23,1.94E+11,6.3,7144,39.6,6540,18160,4.88,2.05E+11,1.67E+11,29770093208,15.38,92.78421205,2.027353178
2008,27664296,11759089,3.48,3.32,2.31E+11,4.83,8343.3,39.71,7400,18830,10.39,2.30E+11,1.78E+11,38914368952,16.86,97.83239896,5.440782211
2009,28217204,12181055,3.67,3.66,2.02E+11,-1.51,7167.88,34.04,7470,18480,-5.99,1.85E+11,1.44E+11,31800960631,15.72,98.40306356,0.583308406
2010,28717731,12521566,3.79,3.39,2.55E+11,7.42,8880.15,34.57,8110,19510,7.27,2.22E+11,1.81E+11,25643752186,10.06,100,1.622852356
2011,29184133,13097687,3.61,3.05,2.98E+11,5.29,10209.37,34.91,8890,20800,5.41,2.54E+11,2.08E+11,32491635332,10.91,103.1744709,3.174470922
2012,29660212,13645536,3.71,3.1,3.14E+11,5.47,10601.51,32.1,9980,21700,1,2.49E+11,2.16E+11,16315757810,5.19,104.8908515,1.663571025
2013,30134807,14298855,3.87,3.16,3.23E+11,4.69,10727.67,30.43,10600,22190,0.17,2.44E+11,2.17E+11,11205218343,3.47,107.0988169,2.105012312
2014,30606459,14684103,3.69,2.88,3.38E+11,6.01,11045.58,30.37,10870,23220,2.47,2.49E+11,2.18E+11,14846482443,4.39,110.4649225,3.142990509
2015,31068833,15044590,4.04,3.1,3.01E+11,5.09,9699.6,29.2,10400,23510,1.22,2.09E+11,1.87E+11,9067534382,3.01,112.7895351,2.104389802
2016,31526418,15326694,3.43,3.44,3.01E+11,4.45,9555.67,29.19,9880,24180,1.66,2.01E+11,1.81E+11,7132796677,2.37,115.1474754,2.090566595
2017,31975806,15658001,3.82,3.41,3.19E+11,5.81,9979.7,29.16,9680,25200,3.78,2.23E+11,2.01E+11,8960171430,2.81,119.6050658,3.871201158
2018,32399271,16042325,3.7,3.3,3.59E+11,4.84,11073.98,26.97,10360,26630,0.62,2.46E+11,2.22E+11,8026400935,2.24,120.6632228,0.884709161
2019,32804020,16435372,3.67,3.26,3.65E+11,4.41,11132.1,25.2,10960,28090,0.07,2.38E+11,2.11E+11,12795413587,3.5,121.4630895,0.662891866
2020,33199993,16626593,3.49,4.54,3.37E+11,-5.46,10164.34,24.31,10320,26750,-0.82,2.08E+11,1.86E+11,14137954763,4.19,120.0799867,-1.138702154
2021,33573874,16915825,3.49,4.6,3.74E+11,3.3,11134.62,26.72,10740,28350,5.71,2.64E+11,2.37E+11,14493419471,3.88,123.0544909,2.477102415
2022,33938221,17309921,3.52,4,4.07E+11,8.65,11993.19,27.5,11830,32410,6.45,3.13E+11,2.84E+11,12271243403,3.01,127.2121313,3.378698625
